Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C13,0.1uF,C_0603_1608Metric,177.86,-111.495,-90,bottom
C14,0.1uF,C_0603_1608Metric,162.01,-104.495,-90,bottom
C15,0.1uF,C_0603_1608Metric,157.26,-124.955,-90,bottom
C16,0.1uF,C_0603_1608Metric,158.235,-127.38,180,bottom
C17,1uF,C_0603_1608Metric,158.26,-129.08,180,bottom
C18,0.1uF,C_0603_1608Metric,147.96,-128.13,90,bottom
C20,0.1uF,C_0603_1608Metric,157,-119.65,180,bottom
C21,0.1uF,C_0603_1608Metric,150.64,-129.02,180,bottom
C23,0.1uF,C_0603_1608Metric,163.09,-132.25,90,bottom
C24,0.1uF,C_0603_1608Metric,143.66,-132.605,-90,bottom
C25,0.1uF,C_0603_1608Metric,178,-144.86,90,bottom
C26,0.1uF,C_0603_1608Metric,177.03,-164.91,0,bottom
C27,0.1uF,C_0603_1608Metric,162.77,-150.93,0,bottom
C28,0.1uF,C_0603_1608Metric,161.36,-146.855,-90,bottom
C29,0.1uF,C_0603_1608Metric,145.96,-147.755,-90,bottom
C30,2.2uF,C_0603_1608Metric,147.53,-149.485,90,bottom
C31,10uF,C_0805_2012Metric,144.05,-147.775,-90,bottom
C32,2.2uF,C_0603_1608Metric,162.96,-145.805,90,bottom
C33,0.1uF,C_0603_1608Metric,115.225446,-155.172677,-20.6,bottom
C36,.1uF,C_0603_1608Metric,216.675,-184.97,180,bottom
C37,33nF,C_0603_1608Metric,216.8,-173.945,90,bottom
C40,4.7uF,C_0805_2012Metric,216.6,-183.12,180,bottom
C42,4.7uF,C_0805_2012Metric,216.6,-180.97,180,bottom
C43,.1uF,C_0603_1608Metric,215.025,-176.32,0,bottom
C45,.1uF,C_0603_1608Metric,156.7,-173.85,-90,bottom
D24,33.2v,D_SMB,157.325,-56.4,0,bottom
D33,D_TVS_Dual_AAC,SOT-23,119.079851,-145.197444,-110.6,bottom
F4,~,Fuse_1206_3216Metric,131.15,-203.92,0,bottom
